3.1537	0.93297
5.013	1.3251
3.4728	2.4846
5.7647	2.4928
1.3184	3.1631
1.3033	0.82598
2.5755	3.196
0.77949	1.6095
0.78124	2.4036
2.3037	0.78913
6.0244	1.1515
4.2524	1.9132
4.1578	0.61908
5.4813	3.2424
3.6866	3.2343
3.3369	1.7112
6.2448	3.2066
2.9576	2.3808
4.8033	1.9935
2.7853	1.3243
5.2256	0.65536
4.6851	3.3134
5.3967	1.8996
5.8987	1.8182
3.738	1.1786
0.66862	0.69868
0.63347	3.2805
4.417	1.2457
1.9664	3.1724
6.3799	2.3785
5.1354	2.6132
6.2105	0.57576
1.6634	1.2849
1.5176	2.6198
2.7906	1.8711
6.6329	1.6566
2.4194	2.6407
3.1834	2.6939
3.3243	3.2251
4.5177	0.62531
1.2598	1.8748
4.0154	2.5663
1.1756	1.6622
4.1248	2.925
4.1525	3.4824
3.3961	0.466
1.1684	2.3114
2.2526	1.1568
2.9737	0.466
6.5122	1.0606
5.5206	1.2112
1.7941	0.79422
5.7252	0.62121
3.8808	2.1932
3.7976	1.7993
1.0517	2.7686
1.0558	1.2347
2.0053	2.8344
0.73075	2.8284
2.7282	0.84723
0.71556	1.1627
0.38946	2.1644
4.9112	2.9625
1.7639	3.6161
2.1191	3.5952
3.1083	3.5817
5.701	3.6128
4.7796	0.9994
1.4367	0.42543
5.2751	3.6212
6.6071	2.9917
1.1566	3.6159
6.0068	2.8409
4.609	1.6236
6.3948	3.6
1.0416	0.57754
1.928	0.38129
6.6186	0.46609
4.4064	2.2832
4.0968	1.5245
5.6406	2.8649
0.39489	1.6992
2.4211	0.37557
3.1345	2.0275
2.7994	2.6621
2.6081	3.6064
6.3287	1.404
3.5805	2.8638
3.5867	3.6165
5.0338	0.33333
3.2664	1.3339
3.5696	0.81605
0.78591	1.9872
3.777	0.54961
6.5097	2.0253
0.49281	3.6479
0.51361	0.37626
0.35753	2.691
3.0555	2.9433
5.8548	3.2271
3.4894	2.111
6.1258	2.1023
